name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	516389	516389	0	1000	1000	-1	2160	2160	-1	1501	1501	-1	290	290	-1	1950	1950	-1	1990	1990	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	105379	20	t > 1200 ms	411010	79	failed	0	0	1173	1173	-1
spring-mvc-asynch-teststub-request	516389	516389	0	1000	1000	-1	2160	2160	-1	1501	1501	-1	290	290	-1	1950	1950	-1	1990	1990	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	105379	20	t > 1200 ms	411010	79	failed	0	0	1173	1173	-1

