name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	88102	88102	0	5000	5000	-1	8720	8720	-1	6519	6519	-1	870	870	-1	7870	7870	-1	7980	7980	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	88102	100	failed	0	0	332	332	-1
test-ping	88102	88102	0	5000	5000	-1	8720	8720	-1	6519	6519	-1	870	870	-1	7870	7870	-1	7980	7980	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	88102	100	failed	0	0	332	332	-1

