name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	36159	20694	15465	0	1000	0	10090	10000	10090	6926	4892	9648	3389	2803	1844	10000	9500	10000	10000	9910	10010	t < 800 ms	0	0	800 ms < t < 1200 ms	802	2	t > 1200 ms	19892	55	failed	15465	42	257	147	110
spring-mvc-asynch-teststub-request	36159	20694	15465	0	1000	0	10090	10000	10090	6926	4892	9648	3389	2803	1844	10000	9500	10000	10000	9910	10010	t < 800 ms	0	0	800 ms < t < 1200 ms	802	2	t > 1200 ms	19892	55	failed	15465	42	257	147	110

