name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	516420	516420	0	990	990	-1	2220	2220	-1	1502	1502	-1	289	289	-1	1950	1950	-1	1990	1990	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	104509	20	t > 1200 ms	411911	79	failed	0	0	1174	1174	-1
spring-mvc-asynch-scenario	516420	516420	0	990	990	-1	2220	2220	-1	1502	1502	-1	289	289	-1	1950	1950	-1	1990	1990	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	104509	20	t > 1200 ms	411911	79	failed	0	0	1174	1174	-1

